Source,Target,Type,Id,Label,Weight
ninonaprea,nan,Directed,489,,1
empowergracewi,nan,Directed,490,,1
ChefChrisEllis,EpochTimes,Directed,491,,1
ElMagnifico5000,nan,Directed,492,,1
DrGooglybean,TotallyCanc3l3d,Directed,493,,1
NewIncentives,gavi,Directed,494,,1
Getyourselftog4,EpochTimes,Directed,495,,1
skiermichael,nan,Directed,496,,1
AhmadMujtabaEn1,kalthegal_,Directed,497,,1
drkarinatop,nan,Directed,498,,1
ALynneTrue,Curlygurl_2,Directed,499,,1
JimfCoach,EpochTimes,Directed,500,,1
melffunction,nan,Directed,501,,1
MedSociOnWheels,FultonHealth,Directed,502,,1
RobertM06666153,gavi,Directed,503,,1
angelusKJT,EpochTimes,Directed,504,,1
UNMC_GCHS,nan,Directed,505,,1
jgombita,nan,Directed,506,,1
Orwellgirl1,EpochTimes,Directed,507,,1
ViewFromWise,GaryRayBetz,Directed,508,,1
tk_chemist,DrLCsquare,Directed,509,,1
Lizwull27,NursingNow2020,Directed,510,,1
PedsDrJeff,DocWithBowtie,Directed,511,,1
Last_Bolshevik,nan,Directed,512,,1
motemotorco,EpochTimes,Directed,513,,1
OligarchAverse,nan,Directed,514,,1
julianaillari,FultonHealth,Directed,515,,1
RebelWheelsNYC,Eman_Rimawi,Directed,516,,1
LustigSandi,ARAdultImmDoc,Directed,517,,1
UniteBlue,lpackard,Directed,518,,1
MissusSnarky,nan,Directed,519,,1
ABB721,nan,Directed,520,,1
GetUSCovered,lpackard,Directed,521,,1
Berx2000,RobotPolisher,Directed,522,,1
NursingNow2020,nan,Directed,523,,1
NursingNow2020,sabinvaccine,Directed,524,,1
SteveC76662006,EpochTimes,Directed,525,,1
GraceStrength,EpochTimes,Directed,526,,1
AnkitSa96984128,UNICEF_ECA,Directed,527,,1
Nowheremaam,EpochTimes,Directed,528,,1
dkhnguess,EpochTimes,Directed,529,,1
CraigCheslog,nan,Directed,530,,1
Teeuwynn,nan,Directed,531,,1
CAIREresearch,NFIDvaccines,Directed,532,,1
ARAdultImmDoc,nan,Directed,533,,1
AnneJMcNeil,DrLCsquare,Directed,534,,1
cali_tami,EpochTimes,Directed,535,,1
LibbyAnnR1,nan,Directed,536,,1
durwoodg,SipOfKoKo,Directed,537,,1
YogayaKRV,EpochTimes,Directed,538,,1
UNICEF_Poland,UNICEF_ECA,Directed,539,,1
miri_iron,nan,Directed,540,,1
Crash_the_Flash,IesousDisciple,Directed,541,,1
KarynCaplan,nan,Directed,542,,1
HealthyNH,nan,Directed,543,,1
CiciMontalto,nan,Directed,544,,1
hephaistos_ai,this1wierdgirl,Directed,545,,1
hephaistos_ai,ninonaprea,Directed,546,,1
hephaistos_ai,ctmock,Directed,547,,1
hephaistos_ai,wacharrisburg,Directed,548,,1
hephaistos_ai,NFIDvaccines,Directed,549,,1
EveafriqueNews,nan,Directed,550,,1
PromesseCKaniki,Amref_Worldwide,Directed,551,,1
zoomerradio,JaneBrownNews,Directed,552,,1
SpeakinFromTN,EpochTimes,Directed,553,,1
felekidis_isaac,EpochTimes,Directed,554,,1
NaigaDoreen2,PromesseCKaniki,Directed,555,,1
